Date,price
2021-09-1,1643.40
2021-09-2,1642.30
2021-09-3,1641.80
2021-09-4,1642.60
2021-09-5,1644.60
2021-10-1,1654.50
2021-10-2,1687.20
2021-10-3,1732.50
2021-10-4,1762.80
2021-11-1,1788.00
2021-11-2,1807.00
2021-11-3,1716.60
2021-11-4,1687.50
2021-12-1,1677.70
2021-12-2,1664.70
2021-12-3,1648.90
2021-12-4,1634.60
2021-12-5,1626.20
2022-01-1,1622.40
2022-01-2,1621.90
2022-01-3,1632.00
2022-01-4,1651.00
2022-02-1,1667.60
2022-02-2,1691.80
2022-02-3,1718.40
2022-02-4,1739.80
2022-03-1,1764.00
2022-03-2,1861.60
2022-03-3,1994.40
2022-03-4,2001.90
2022-03-5,2000.10
2022-04-1,1990.50
2022-04-2,1977.20
2022-04-3,1967.80
2022-04-4,1968.20
2022-05-1,1940.70
2022-05-2,1942.60
2022-05-3,1940.70
2022-05-4,1993.80
2022-06-1,2013.00
2022-06-2,2037.50
2022-06-3,2080.90
2022-06-4,2115.80
2022-06-5,2137.70
2022-07-1,2116.80
2022-07-2,2080.70
2022-07-3,2013.10
2022-07-4,1937.70
2022-08-1,1881.90
2022-08-2,1833.20
2022-08-3,1780.20
2022-08-4,1743.80
2022-08-5,1740.30
2022-09-1,1741.20
