Date,price
2019-09,1527.13
2019-10,1540.62
2019-11,1535.53
2019-12,1546.80
2020-01,1567.22
2020-02,1546.23
2020-03,1481.53
2020-04,1331.20
2020-05,1253.63
2020-06,1314.48
2020-07,1359.54
2020-08,1361.15
2020-09,1351.72
2020-10,1333.08
2020-11,1319.18
2020-12,1365.34
2021-01,1441.78
2021-02,1461.10
2021-03,1512.58
2021-04,1534.55
2021-05,1540.38
2021-06,1576.70
2021-07,1630.40
2021-08,1646.08
2021-09,1642.94
2021-10,1709.25
2021-11,1749.78
2021-12,1650.42
2022-01,1631.83
2022-02,1704.40
