Date,price
9/16/2022,24579
9/2/2022,22373
8/26/2022,23333
8/19/2022,22793
8/12/2022,23299
8/5/2022,23152
7/29/2022,22293
7/22/2022,16809
7/15/2022,18797
7/8/2022,15478
7/1/2022,14777
6/24/2022,23895
6/17/2022,21278
6/10/2022,24139
6/3/2022,20793
5/20/2022,20581
5/13/2022,25087
5/6/2022,24993
4/29/2022,22721
4/22/2022,21282
4/15/2022,20415
4/8/2022,22463
4/1/2022,21829
3/25/2022,23174
3/18/2022,23002
3/11/2022,24561
3/4/2022,25033
2/25/2022,23077
2/18/2022,25503
2/11/2022,27922
2/4/2022,25359
1/28/2022,20877
1/21/2022,22657
1/14/2022,22929
1/7/2022,24740
12/31/2021,23576
12/24/2021,25809
12/17/2021,23832
12/10/2021,23718
12/3/2021,26284
11/26/2021,24139
11/19/2021,26721
11/12/2021,25910
11/5/2021,19260
10/29/2021,23452
10/22/2021,25743
10/15/2021,29055
10/8/2021,23303
10/1/2021,27183
9/24/2021,31336
9/17/2021,28796
9/10/2021,29147
9/3/2021,31305
8/27/2021,32525
8/20/2021,29856
8/13/2021,30815
8/6/2021,33644
7/30/2021,29725
7/23/2021,30026
7/16/2021,30983
7/9/2021,29109
7/2/2021,35923
6/25/2021,40564
6/18/2021,41936
6/11/2021,45444
6/4/2021,47987
5/28/2021,47868
5/21/2021,47792
5/14/2021,53107
5/7/2021,48188
4/30/2021,41016
4/23/2021,46022
4/16/2021,44816
4/9/2021,42214
4/2/2021,39330
3/26/2021,40474
3/19/2021,40875
3/12/2021,39495
3/5/2021,40121
2/26/2021,42829
2/19/2021,43731
2/5/2021,40070
1/29/2021,39577
1/22/2021,41092
1/15/2021,42148
1/8/2021,38671
12/25/2020,38037
12/18/2020,35479
12/11/2020,37133
12/4/2020,35426
11/27/2020,35477
11/20/2020,33658
11/13/2020,32506
11/6/2020,30549
10/30/2020,28679
10/23/2020,29993
10/16/2020,28340
10/9/2020,33373
9/25/2020,24400
9/18/2020,31506
9/11/2020,33527
9/4/2020,33477
8/28/2020,36979
8/21/2020,28607
8/14/2020,46301
8/7/2020,50156
7/31/2020,65929
7/24/2020,53887
7/17/2020,55217
7/10/2020,53454
7/3/2020,53633
6/26/2020,52438
6/19/2020,51053
6/12/2020,46304
6/5/2020,56658
5/29/2020,63210
5/22/2020,54515
5/15/2020,52737
5/8/2020,49362
5/1/2020,50371
4/24/2020,42715
4/17/2020,41966
4/10/2020,35673
4/3/2020,31278
3/27/2020,29238
3/13/2020,33274
3/6/2020,26461
2/28/2020,36556
2/21/2020,26617
2/14/2020,24401
2/7/2020,27623
1/31/2020,21633
1/23/2020,22617
1/17/2020,22590
1/10/2020,22131
1/3/2020,23820
12/27/2019,22498
12/20/2019,22525
12/13/2019,25256
12/6/2019,21455
11/29/2019,24945
11/22/2019,24306
11/15/2019,21421
11/8/2019,19722
11/1/2019,19759
10/25/2019,18777
10/18/2019,22020
10/11/2019,21499
10/4/2019,20573
9/27/2019,22553
9/20/2019,22933
9/6/2019,21176
8/30/2019,20503
8/23/2019,22121
8/16/2019,22568
8/9/2019,23704
8/2/2019,26640
7/26/2019,18451
7/19/2019,19438
7/12/2019,19967
7/5/2019,23698
6/28/2019,27852
6/21/2019,32316
6/14/2019,35983
6/7/2019,30882
5/31/2019,33632
5/24/2019,33883
5/17/2019,33471
5/10/2019,35370
5/3/2019,34986
4/26/2019,33237
4/19/2019,37449
4/12/2019,35191
4/5/2019,36490
4/1/2019,35191
4/1/2019,35191
3/29/2019,30204
3/22/2019,33631
3/15/2019,36984
3/8/2019,34940
2/15/2019,36889
11/23/2018,32421
11/16/2018,30440
11/9/2018,27090
11/2/2018,30528
10/19/2018,27175
10/5/2018,26914
9/28/2018,31021
9/21/2018,27464
8/24/2018,35763
8/3/2018,39622
7/27/2018,49782
7/20/2018,42663
6/22/2018,33756
6/1/2018,44446
5/18/2018,39282
5/4/2018,38983
4/20/2018,39043
4/13/2018,35580
4/6/2018,33519
3/30/2018,33445
3/23/2018,34324
3/9/2018,31814
3/2/2018,35303
2/23/2018,36129
2/9/2018,30114
2/2/2018,34345
1/26/2018,25298
1/19/2018,31055
1/12/2018,30461
1/5/2018,27508
12/15/2017,21567
12/8/2017,23142
12/1/2017,22036
11/24/2017,24721
11/17/2017,22146
11/10/2017,20744
11/3/2017,22865
10/27/2017,3348
10/20/2017,22765
9/22/2017,19620
9/15/2017,23189
9/8/2017,21302
9/1/2017,25628
8/25/2017,26514
8/18/2017,27064
8/11/2017,28257
8/4/2017,33528
7/28/2017,34616
7/21/2017,23352
7/14/2017,24136
6/30/2017,30971
6/23/2017,22528
6/16/2017,26036
6/9/2017,19246
6/2/2017,23149
5/26/2017,19380
5/19/2017,21156
5/12/2017,19508
4/28/2017,22263
4/21/2017,21151
4/14/2017,21630
4/7/2017,22766
3/31/2017,23632
3/24/2017,18901
3/17/2017,21347
3/10/2017,22061
3/3/2017,22659
2/24/2017,22118
2/17/2017,20897
2/10/2017,21078
2/3/2017,25273
1/26/2017,22016
1/20/2017,20593
1/13/2017,18656
