Date,price
2015-09/1,1520.70
2015-09/2,1515.10
2015-09/3,1512.30
2015-09/4,1507.90
2015-09/5,1504.70
2015-10/1,1502.10
2015-10/2,1501.30
2015-10/3,1499.10
2015-10/4,1492.70
2015-11/1,1485.70
2015-11/2,1479.60
2015-11/3,1473.30
2015-11/4,1464.50
2015-12/1,1456.70
2015-12/2,1448.10
2015-12/3,1434.80
2015-12/4,1421.70
2015-12/5,1411.70
2016-01/1,1402.30
2016-01/2,1391.90
2016-01/3,1380.20
2016-01/4,1370.00
2016-02/1,1362.20
2016-02/2,1358.10
2016-02/3,1350.40
2016-02/4,1344.30
2016-03/1,1340.80
2016-03/2,1340.40
2016-03/3,1348.10
2016-03/4,1357.40
2016-03/5,1361.80
2016-04/1,1362.60
2016-04/2,1361.40
2016-04/3,1361.50
2016-04/4,1361.10
2016-05/1,1366.90
2016-05/2,1375.60
2016-05/3,1386.90
2016-05/4,1404.00
2016-06/1,1421.10
2016-06/2,1432.10
2016-06/3,1439.50
2016-06/4,1441.90
2016-06/5,1442.60
2016-07/1,1442.50
2016-07/2,1440.70
2016-07/3,1436.70
2016-07/4,1431.00
2016-08/1,1423.90
2016-08/2,1415.00
2016-08/3,1408.50
2016-08/4,1406.70
2016-08/5,1408.20
2016-09/1,1408.30
2016-09/2,1408.70
2016-09/3,1408.50
2016-09/4,1407.20
2016-10/1,1406.70
2016-10/2,1410.90
2016-10/3,1418.60
2016-10/4,1425.20
2016-11/1,1428.50
2016-11/2,1429.00
2016-11/3,1427.30
2016-11/4,1424.80
2016-11/5,1425.20
2016-12/1,1433.70
2016-12/2,1448.20
2016-12/3,1464.10
2016-12/4,1475.50
2017-01/1,1491.90
2017-01/2,1505.50
2017-01/3,1511.60
2017-01/4,1514.50
2017-02/1,1516.50
2017-02/2,1517.20
2017-02/3,1516.90
2017-02/4,1516.50
2017-03/1,1515.30
2017-03/2,1513.60
2017-03/3,1510.30
2017-03/4,1504.20
2017-03/5,1496.20
2017-04/1,1489.00
2017-04/2,1486.50
2017-04/3,1487.40
2017-04/4,1487.50
2017-05/1,1486.20
2017-05/2,1484.40
2017-05/3,1480.80
2017-05/4,1478.30
2017-05/5,1476.40
2017-06/1,1472.60
2017-06/2,1466.00
