Date,price
2021-09/23,57356
2021-09/24,57356
2021-09/27,56911
2021-09/28,56663
2021-09/29,56663
2021-09/30,56757
2021-10/01,56757
2021-10/05,57325
2021-10/06,57050
2021-10/07,57050
2021-10/08,57050
2021-10/12,57050
2021-10/13,56440
2021-10/14,56440
2021-10/15,56440
2021-10/18,56340
2021-10/19,55820
2021-10/20,54920
2021-10/21,54920
2021-10/22,54920
2021-10/25,54620
2021-10/26,54620
2021-10/27,54620
2021-10/28,54620
2021-10/29,54620
2021-11/01,54620
2021-11/02,54620
2021-11/03,54180
2021-11/04,54020
2021-11/05,54020
2021-11/08,53880
2021-11/09,53880
2021-11/10,53880
2021-11/11,53880
2021-11/12,53880
2021-11/15,53880
2021-11/16,53480
2021-11/17,53480
2021-11/18,53480
2021-11/19,53480
2021-11/22,53480
2021-11/23,53480
2021-11/24,53360
2021-11/25,53360
2021-11/26,53360
2021-11/29,53360
2021-11/30,53360
2021-12/01,53360
2021-12/02,53360
2021-12/06,53360
2021-12/07,53240
2021-12/08,53240
2021-12/09,53240
2021-12/10,53240
2021-12/13,53240
2021-12/14,53060
2021-12/15,52960
2021-12/16,52960
2021-12/17,52960
2021-12/20,52960
2021-12/21,52680
2021-12/22,52680
2021-12/23,52680
2021-12/24,52680
2021-12/27,52540
2021-12/28,52540
2021-12/29,52540
2021-12/30,52540
2021-12/31,52540
2022-01/03,52540
2022-01/04,52540
2022-01/05,52540
2022-01/06,52480
2022-01/07,52480
2022-01/10,52440
2022-01/11,52440
2022-01/12,52440
2022-01/13,52380
2022-01/14,52380
2022-01/17,52380
2022-01/18,52280
2022-01/19,52280
2022-01/20,52280
2022-01/21,52280
2022-01/24,52280
2022-01/25,52280
2022-01/26,52280
2022-01/27,52280
2022-01/28,52280
2022-02/03,52280
2022-02/04,52280
2022-02/07,52280
2022-02/08,52280
2022-02/09,52280
2022-02/10,52280
2022-02/11,52280
2022-02/14,52200
2022-02/15,52200
2022-02/16,52200
2022-02/17,52200
2022-02/18,52200
2022-02/21,52200
2022-02/22,52200
2022-02/23,52200
2022-02/24,52200
2022-02/25,52200
2022-02/28,52200
2022-03/02,52200
2022-03/03,52200
2022-03/04,52200
2022-03/07,52200
2022-03/08,52200
2022-03/10,52200
2022-03/11,52200
2022-03/14,52200
2022-03/15,52080
2022-03/16,51920
2022-03/17,51920
2022-03/18,51840
2022-03/21,51840
2022-03/22,51840
2022-03/23,51840
2022-03/24,51840
2022-03/25,51840
2022-03/28,51840
2022-03/29,51840
2022-03/30,51840
2022-03/31,51720
2022-04/01,51620
2022-04/04,51620
2022-04/05,51280
2022-04/06,51160
2022-04/07,51200
2022-04/08,50920
2022-04/11,50660
2022-04/12,50660
2022-04/13,50500
2022-04/14,50260
2022-04/15,50260
2022-04/18,50180
2022-04/19,50180
2022-04/20,50180
2022-04/21,49980
2022-04/22,49600
2022-04/25,49260
2022-04/26,49260
2022-04/27,49220
2022-04/28,49220
2022-04/29,49440
2022-05/02,49340
2022-05/03,49340
2022-05/04,49140
2022-05/06,49160
2022-05/09,48960
2022-05/10,48900
2022-05/11,48900
2022-05/12,48900
2022-05/13,48900
2022-05/16,48900
2022-05/17,48740
2022-05/18,48740
2022-05/19,48740
2022-05/20,48700
2022-05/23,48540
2022-05/24,48540
2022-05/25,48440
2022-05/26,48340
2022-05/27,48340
2022-05/30,48240
2022-05/31,48240
2022-06/02,48080
2022-06/03,48080
2022-06/07,48080
2022-06/08,48080
2022-06/09,48080
2022-06/10,48080
2022-06/13,48080
2022-06/14,48080
2022-06/15,48080
2022-06/16,48080
2022-06/17,48080
2022-06/20,48120
2022-06/21,47520
2022-06/22,47580
2022-06/23,47580
2022-06/24,47580
2022-06/27,47580
2022-06/28,47700
2022-06/29,47640
2022-06/30,47640
2022-07/01,47580
2022-07/04,47540
2022-07/05,47480
2022-07/06,47480
2022-07/07,47340
2022-07/08,47340
2022-07/11,47460
2022-07/12,47420
2022-07/13,47420
2022-07/14,47420
2022-07/15,47420
2022-07/18,47420
2022-07/19,47380
2022-07/20,47380
2022-07/21,47320
2022-07/22,47320
2022-07/25,47140
2022-07/26,46980
2022-07/27,46980
2022-07/28,46980
2022-07/29,46980
2022-08/01,46940
2022-08/02,46940
2022-08/03,46940
2022-08/04,46940
2022-08/05,46940
2022-08/08,46680
2022-08/09,46620
2022-08/10,46620
2022-08/11,47225
2022-08/12,47225
2022-08/16,46900
2022-08/17,46900
2022-08/18,46900
2022-08/19,46775
2022-08/22,46400
2022-08/23,46150
2022-08/24,46150
2022-08/25,46150
2022-08/26,46150
2022-08/29,46100
2022-08/30,46050
2022-08/31,46050
2022-09/01,45800
2022-09/02,45800
2022-09/05,45800
2022-09/06,45800
2022-09/07,46700
2022-09/08,47033
2022-09/13,46983
2022-09/14,46888
2022-09/15,46350
