,ds,yhat
0,2016-01-05,19321.11777892247
1,2016-01-12,20317.64648490841
2,2016-01-19,21012.465159834486
3,2016-01-26,21335.638959441967
4,2016-02-02,21528.662880078675
5,2016-02-16,22926.281205039108
6,2016-02-23,23940.640828551837
7,2016-02-29,23735.18796959304
8,2016-03-08,24067.115972532298
9,2016-03-15,23370.704095462905
10,2016-03-22,23115.37043854233
11,2016-03-29,23683.010119820545
12,2016-04-05,24750.262903101517
13,2016-04-12,25746.000746370068
14,2016-04-19,26465.722424520292
15,2016-04-26,27109.71102742261
16,2016-05-03,27794.46908331613
17,2016-05-10,28276.65273394225
18,2016-05-17,28305.262470817914
19,2016-05-24,28091.309918830422
20,2016-05-31,28121.918802721262
21,2016-06-07,28405.48786430981
22,2016-06-14,28150.34540249489
23,2016-06-21,26546.55297165323
24,2016-06-28,23949.35038823515
25,2016-07-05,22011.286856789204
26,2016-07-12,22291.92424185173
27,2016-07-19,24637.463219489488
28,2016-07-26,27104.46525605332
29,2016-08-02,27672.18826549344
30,2016-08-09,26055.87947521179
31,2016-08-16,23781.45440688262
32,2016-08-23,22528.796218150863
33,2016-08-30,22550.25206131422
34,2016-09-06,22749.828602062196
35,2016-09-13,22110.021759012765
36,2016-09-20,20769.191615768286
37,2016-09-27,19656.555569497083
38,2016-10-04,19320.825359734394
39,2016-10-11,19395.03855557867
40,2016-10-18,19219.688498893676
41,2016-10-25,18741.787705876577
42,2016-11-02,17413.554072557974
43,2016-11-09,18214.73556593808
44,2016-11-16,19514.5406925362
45,2016-11-30,20675.354767106644
46,2016-12-07,20274.9939220494
47,2016-12-15,15377.830792733745
48,2016-12-23,18906.394313528566
49,2016-12-28,20762.296017122502
50,2016-12-30,19730.466779606784
51,2017-01-06,20778.455475138275
52,2017-01-13,21720.07050515971
53,2017-01-20,22317.06826598444
54,2017-01-26,19330.85570157728
55,2017-02-03,22799.417606402912
56,2017-02-10,23388.803186103032
57,2017-02-17,24388.942050375743
58,2017-02-24,25323.70622598392
59,2017-03-03,25587.286352243027
60,2017-03-10,25088.006234697947
61,2017-03-17,24431.414086877005
62,2017-03-24,24374.927718621704
63,2017-03-31,25119.699918725662
64,2017-04-07,26216.15254732137
65,2017-04-14,27140.975572605137
66,2017-04-21,27816.56738806119
67,2017-04-28,28474.02213808556
68,2017-05-12,29520.63520553878
69,2017-05-19,29448.11462609464
70,2017-05-26,29254.539103545005
71,2017-06-02,29381.402286763197
72,2017-06-09,29626.55286545253
73,2017-06-16,29081.6919675876
74,2017-06-23,27134.74111008307
75,2017-06-30,24518.48375931668
76,2017-07-14,23931.49835543133
77,2017-07-21,26530.79679880527
78,2017-07-28,28666.75319927382
79,2017-08-04,28628.403905415915
80,2017-08-11,26662.83959495257
81,2017-08-18,24524.759391056345
82,2017-08-25,23636.013161007228
83,2017-09-01,23830.00333820871
84,2017-09-08,23878.433373633932
85,2017-09-15,23002.11574346385
86,2017-09-22,21626.209870396407
87,2017-10-20,20304.54208695842
88,2017-10-27,19835.589177871283
89,2017-11-03,19863.25321216161
90,2017-11-10,20748.57719937125
91,2017-11-17,22053.72702868209
92,2017-11-24,22960.8300008426
93,2017-12-01,23054.571675541607
94,2017-12-08,22627.234975509717
95,2017-12-15,22306.59331168392
96,2018-01-05,24297.22236833711
97,2018-01-12,25279.46311262733
98,2018-01-19,25943.15625856925
99,2018-01-26,26241.887950115302
100,2018-02-02,26438.0143283801
101,2018-02-09,26940.3636247951
102,2018-02-23,28877.89405434777
103,2018-03-02,29286.16282363889
104,2018-03-09,28891.69401310548
105,2018-03-23,27993.608897193444
