Date,price
2016-01/05,24229
2016-01/12,24795
2016-01/19,23201
2016-01/26,24247
2016-02/02,22088
2016-02/16,25036
2016-02/23,27362
2016-02/29,21645
2016-03/08,23624
2016-03/15,22176
2016-03/22,23731
2016-03/29,22711
2016-04/05,25143
2016-04/12,23629
2016-04/19,22297
2016-04/26,28077
2016-05/03,24104
2016-05/10,25759
2016-05/17,24915
2016-05/24,24663
2016-05/31,25616
2016-06/07,28303
2016-06/14,25663
2016-06/21,23882
2016-06/28,22106
2016-07/05,19833
2016-07/12,24325
2016-07/19,25610
2016-07/26,31524
2016-08/02,23325
2016-08/09,26736
2016-08/16,21686
2016-08/23,22626
2016-08/30,24235
2016-09/06,21852
2016-09/13,25039
2016-09/20,21253
2016-09/27,20507
2016-10/04,20518
2016-10/11,22478
2016-10/18,18871
2016-10/25,19273
2016-11/02,19852
2016-11/09,19591
2016-11/16,16089
2016-11/30,19310
2016-12/07,22625
2016-12/15,19813
2016-12/23,19375
2016-12/28,19032
2016-12/30,19809
2017-01/06,21947
2017-01/13,18656
2017-01/20,20593
2017-01/26,22016
2017-02/03,25273
2017-02/10,21078
2017-02/17,20897
2017-02/24,22118
2017-03/03,22659
2017-03/10,22061
2017-03/17,21347
2017-03/24,18901
2017-03/31,23632
2017-04/07,22766
2017-04/14,21630
2017-04/21,21151
2017-04/28,22263
2017-05/12,19508
2017-05/19,21156
2017-05/26,19380
2017-06/02,23149
2017-06/09,19246
2017-06/16,26036
2017-06/23,22528
2017-06/30,30971
2017-07/14,24136
2017-07/21,23352
2017-07/28,34616
2017-08/04,33528
2017-08/11,28257
2017-08/18,27064
2017-08/25,26514
2017-09/01,25628
2017-09/08,21302
2017-09/15,23189
2017-09/22,19620
2017-10/20,22765
2017-10/27,23348
2017-11/03,22865
2017-11/10,20744
2017-11/17,22146
2017-11/24,24721
2017-12/01,22036
2017-12/08,23142
2017-12/15,21567
2018-01/05,27508
2018-01/12,30461
2018-01/19,31055
2018-01/26,25298
2018-02/02,34345
2018-02/09,30114
2018-02/23,36129
2018-03/02,35303
2018-03/09,31814
2018-03/23,34324
2018-03/30,33445
2018-04/06,33519
2018-04/13,35580
2018-04/20,39043
2018-05/04,38983
2018-05/18,39282
2018-06/01,44446
2018-06/22,33756
2018-07/20,42663
2018-07/27,49782
2018-08/03,39622
2018-08/24,35763
2018-09/21,27464
2018-09/28,31021
2018-10/05,26914
2018-10/19,27175
2018-11/02,30528
2018-11/09,27090
2018-11/16,30440
2018-11/23,32421
2019-02/15,36889
2019-03/08,34940
2019-03/15,36984
2019-03/22,33631
2019-03/29,30204
2019-04/01,35191
2019-04/05,36490
2019-04/12,35191
2019-04/19,37449
2019-04/26,33237
2019-05/03,34986
2019-05/10,35370
2019-05/17,33471
2019-05/24,33883
2019-05/31,33632
2019-06/07,30882
2019-06/14,35983
2019-06/21,32316
2019-06/28,27852
2019-07/05,23698
2019-07/12,19967
2019-07/19,19438
2019-07/26,18451
2019-08/02,26640
2019-08/09,23704
2019-08/16,22568
2019-08/23,22121
2019-08/30,20503
2019-09/06,21176
2019-09/20,22933
2019-09/27,22553
2019-10/04,20573
2019-10/11,21499
2019-10/18,22020
2019-10/25,18777
2019-11/01,19759
2019-11/08,19722
2019-11/15,21421
2019-11/22,24306
2019-11/29,24945
2019-12/06,21455
2019-12/13,25256
2019-12/20,22525
2019-12/27,22498
2020-01/03,23820
2020-01/10,22131
2020-01/17,22590
2020-01/23,22617
2020-01/31,21633
2020-02/07,27623
2020-02/14,24401
2020-02/21,26617
2020-02/28,36556
2020-03/06,26461
2020-03/13,33274
2020-03/27,29238
2020-04/03,31278
2020-04/10,35673
2020-04/17,41966
2020-04/24,42715
2020-05/01,50371
2020-05/08,49362
2020-05/15,52737
2020-05/22,54515
2020-05/29,63210
2020-06/05,56658
2020-06/12,46304
2020-06/19,51053
2020-06/26,52438
2020-07/03,53633
2020-07/10,53454
2020-07/17,55217
2020-07/24,53887
2020-07/31,65929
2020-08/07,50156
2020-08/14,46301
2020-08/21,28607
2020-08/28,36979
2020-09/04,33477
2020-09/11,33527
2020-09/18,31506
2020-09/25,24400
2020-10/09,33373
2020-10/16,28340
2020-10/23,29993
2020-10/30,28679
2020-11/06,30549
2020-11/13,32506
2020-11/20,33658
2020-11/27,35477
2020-12/04,35426
2020-12/11,37133
2020-12/18,35479
2020-12/25,38037
2021-01/08,38671
2021-01/15,42148
2021-01/22,41092
2021-01/29,39577
2021-02/05,40070
2021-02/19,43731
2021-02/26,42829
2021-03/05,40121
2021-03/12,39495
2021-03/19,40875
2021-03/26,40474
2021-04/02,39330
2021-04/09,42214
2021-04/16,44816
2021-04/23,46022
2021-04/30,41016
2021-05/07,48188
2021-05/14,53107
2021-05/21,47792
2021-05/28,47868
2021-06/04,47987
2021-06/11,45444
2021-06/18,41936
2021-06/25,40564
2021-07/02,35923
2021-07/09,29109
2021-07/16,30983
2021-07/23,30026
2021-08/06,33644
2021-08/13,30815
2021-08/20,29856
2021-08/27,32525
2021-09/03,31305
2021-09/10,29147
2021-09/17,28796
2021-09/24,31336
2021-10/01,27183
2021-10/08,23303
2021-10/15,29055
2021-10/22,25743
2021-10/29,23452
2021-11/05,19260
2021-11/12,25910
2021-11/19,26721
2021-11/26,24139
2021-12/03,26284
2021-12/10,23718
2021-12/17,23832
2021-12/24,25809
2021-12/31,23576
2021-07/30,29725
2022-01/07,24740
2022-01/14,22929
2022-01/21,22657
2022-01/28,20877
2022-02/04,25359
2022-02/11,27922
2022-02/18,25503
2022-02/25,23077
2022-03/04,25033
2022-03/11,24561
2022-03/18,23002
2022-03/25,23174
2022-04/01,21829
2022-04/08,22463
2022-04/15,20415
2022-04/22,21282
2022-04/29,22721
2022-05/06,24993
2022-05/13,25087
2022-05/20,20581
2022-06/03,20793
2022-06/10,24139
2022-06/17,21278
2022-06/24,23895
2022-07/01,14777
2022-07/08,15478
2022-07/15,18797
2022-07/22,16809
2022-07/29,22293
2022-08/05,23152
2022-08/12,23299
2022-08/19,22793
2022-08/26,23333
2022-09/02,22373
2022-09/16,24579







