,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2016-01-05,20232.613871205922,12519.389408440014,25770.113723190876,20232.613871205922,20232.613871205922,-911.4960922834518,-911.4960922834518,-911.4960922834518,1233.656841478027,1233.656841478027,1233.656841478027,-2145.152933761479,-2145.152933761479,-2145.152933761479,0.0,0.0,0.0,19321.11777892247
1,2016-01-12,20303.733530500453,13273.869179110467,26437.93386360705,20303.733530500453,20303.733530500453,13.912954407960214,13.912954407960214,13.912954407960214,1233.656841480947,1233.656841480947,1233.656841480947,-1219.7438870729868,-1219.7438870729868,-1219.7438870729868,0.0,0.0,0.0,20317.64648490841
2,2016-01-19,20374.85318979498,14321.750451052849,27467.52548675305,20374.85318979498,20374.85318979498,637.6119700395077,637.6119700395077,637.6119700395077,1233.656841478912,1233.656841478912,1233.656841478912,-596.0448714394041,-596.0448714394041,-596.0448714394041,0.0,0.0,0.0,21012.465159834486
3,2016-01-26,20445.97284908951,14609.458769524337,28382.861148078227,20445.97284908951,20445.97284908951,889.6661103524576,889.6661103524576,889.6661103524576,1233.6568414818319,1233.6568414818319,1233.6568414818319,-343.99073112937424,-343.99073112937424,-343.99073112937424,0.0,0.0,0.0,21335.638959441967
4,2016-02-02,20517.092508384038,14765.916534250371,28027.30736922657,20517.092508384038,20517.092508384038,1011.5703716946362,1011.5703716946362,1011.5703716946362,1233.6568414779126,1233.6568414779126,1233.6568414779126,-222.0864697832764,-222.0864697832764,-222.0864697832764,0.0,0.0,0.0,21528.662880078675
5,2016-02-16,20659.331826973095,16604.974670176183,29574.857164269146,20659.331826973095,20659.331826973095,2266.9493780660137,2266.9493780660137,2266.9493780660137,1233.6568414795654,1233.6568414795654,1233.6568414795654,1033.292536586448,1033.292536586448,1033.292536586448,0.0,0.0,0.0,22926.281205039108
6,2016-02-23,20730.451486267626,17372.74643145819,30504.263739354083,20730.451486267626,20730.451486267626,3210.18934228421,3210.18934228421,3210.18934228421,1233.6568414790656,1233.6568414790656,1233.6568414790656,1976.5325008051445,1976.5325008051445,1976.5325008051445,0.0,0.0,0.0,23940.640828551837
7,2016-02-29,20791.411194234366,17390.02493487859,30158.69401577326,20791.411194234366,20791.411194234366,2943.776775358675,2943.776775358675,2943.776775358675,574.941935476555,574.941935476555,574.941935476555,2368.8348398821195,2368.8348398821195,2368.8348398821195,0.0,0.0,0.0,23735.18796959304
8,2016-03-08,20872.690804856687,18009.728201955684,30811.695235089643,20872.690804856687,20872.690804856687,3194.4251676756066,3194.4251676756066,3194.4251676756066,1233.6568414807182,1233.6568414807182,1233.6568414807182,1960.7683261948882,1960.7683261948882,1960.7683261948882,0.0,0.0,0.0,24067.115972532294
9,2016-03-15,20943.810464151215,16859.20861770818,29708.158804728064,20943.810464151215,20943.810464151215,2426.893631311689,2426.893631311689,2426.893631311689,1233.6568414767987,1233.6568414767987,1233.6568414767987,1193.2367898348903,1193.2367898348903,1193.2367898348903,0.0,0.0,0.0,23370.704095462905
10,2016-03-22,21014.930123445745,16824.751988232794,29721.477846220514,21014.930123445745,21014.930123445745,2100.4403150965854,2100.4403150965854,2100.4403150965854,1233.6568414797189,1233.6568414797189,1233.6568414797189,866.7834736168668,866.7834736168668,866.7834736168668,0.0,0.0,0.0,23115.37043854233
11,2016-03-29,21086.049780902496,16497.640798067343,30346.78530063469,21086.049780902496,21086.049780902496,2596.9603389180475,2596.9603389180475,2596.9603389180475,1233.6568414792193,1233.6568414792193,1233.6568414792193,1363.3034974388281,1363.3034974388281,1363.3034974388281,0.0,0.0,0.0,23683.010119820545
